Starting 5-minute BTC/USDT (Binance Perpetual) frame tracking...
Signal threshold: ±$180 price change per frame
--------------------------------------------------------------------------------

[NEW FRAME] Now: 16:36:38 | Frame: 16:35:00 | Frame Start Price: $69,647.20
[16:39:24] Frame: 16:35:00 | BTC: $69,615.10 | Change: -32.10 / ±$180
[16:39:27] Frame: 16:35:00 | BTC: $69,615.00 | Change: -32.20 / ±$180
[16:39:30] Frame: 16:35:00 | BTC: $69,615.10 | Change: -32.10 / ±$180
[16:39:33] Frame: 16:35:00 | BTC: $69,615.10 | Change: -32.10 / ±$180
[16:39:36] Frame: 16:35:00 | BTC: $69,615.10 | Change: -32.10 / ±$180
[16:39:39] Frame: 16:35:00 | BTC: $69,615.10 | Change: -32.10 / ±$180
[16:39:42] Frame: 16:35:00 | BTC: $69,605.20 | Change: -42.00 / ±$180
[16:39:45] Frame: 16:35:00 | BTC: $69,603.30 | Change: -43.90 / ±$180
[16:39:48] Frame: 16:35:00 | BTC: $69,611.70 | Change: -35.50 / ±$180
[16:39:52] Frame: 16:35:00 | BTC: $69,611.70 | Change: -35.50 / ±$180
[16:39:55] Frame: 16:35:00 | BTC: $69,611.60 | Change: -35.60 / ±$180
[16:39:57] Frame: 16:35:00 | BTC: $69,611.60 | Change: -35.60 / ±$180

[NEW FRAME] Now: 16:40:00 | Frame: 16:40:00 | Frame Start Price: $69,611.60
[16:40:00] Frame: 16:40:00 | BTC: $69,611.60 | Change: +0.00 / ±$180
[16:40:03] Frame: 16:40:00 | BTC: $69,611.60 | Change: +0.00 / ±$180
[16:40:06] Frame: 16:40:00 | BTC: $69,611.60 | Change: +0.00 / ±$180
[16:40:09] Frame: 16:40:00 | BTC: $69,602.70 | Change: -8.90 / ±$180
[16:40:12] Frame: 16:40:00 | BTC: $69,602.70 | Change: -8.90 / ±$180
[16:40:15] Frame: 16:40:00 | BTC: $69,602.70 | Change: -8.90 / ±$180
[16:40:18] Frame: 16:40:00 | BTC: $69,611.10 | Change: -0.50 / ±$180
[16:40:21] Frame: 16:40:00 | BTC: $69,610.00 | Change: -1.60 / ±$180
[16:40:24] Frame: 16:40:00 | BTC: $69,610.00 | Change: -1.60 / ±$180
[16:40:27] Frame: 16:40:00 | BTC: $69,610.00 | Change: -1.60 / ±$180
[16:40:30] Frame: 16:40:00 | BTC: $69,610.00 | Change: -1.60 / ±$180
[16:40:33] Frame: 16:40:00 | BTC: $69,610.00 | Change: -1.60 / ±$180
[16:40:36] Frame: 16:40:00 | BTC: $69,610.00 | Change: -1.60 / ±$180
[16:40:40] Frame: 16:40:00 | BTC: $69,610.00 | Change: -1.60 / ±$180
[16:40:43] Frame: 16:40:00 | BTC: $69,626.30 | Change: +14.70 / ±$180
[16:40:46] Frame: 16:40:00 | BTC: $69,629.80 | Change: +18.20 / ±$180
[16:40:49] Frame: 16:40:00 | BTC: $69,637.00 | Change: +25.40 / ±$180
[16:40:51] Frame: 16:40:00 | BTC: $69,637.00 | Change: +25.40 / ±$180
[16:40:54] Frame: 16:40:00 | BTC: $69,637.80 | Change: +26.20 / ±$180
[16:40:58] Frame: 16:40:00 | BTC: $69,636.60 | Change: +25.00 / ±$180
[16:41:02] Frame: 16:40:00 | BTC: $69,631.50 | Change: +19.90 / ±$180
[16:41:04] Frame: 16:40:00 | BTC: $69,631.50 | Change: +19.90 / ±$180
[16:41:08] Frame: 16:40:00 | BTC: $69,631.50 | Change: +19.90 / ±$180
[16:41:10] Frame: 16:40:00 | BTC: $69,631.50 | Change: +19.90 / ±$180
[16:41:14] Frame: 16:40:00 | BTC: $69,631.50 | Change: +19.90 / ±$180
[16:41:17] Frame: 16:40:00 | BTC: $69,640.00 | Change: +28.40 / ±$180
[16:41:19] Frame: 16:40:00 | BTC: $69,639.90 | Change: +28.30 / ±$180
[16:41:22] Frame: 16:40:00 | BTC: $69,639.90 | Change: +28.30 / ±$180
[16:41:25] Frame: 16:40:00 | BTC: $69,649.30 | Change: +37.70 / ±$180
[16:41:28] Frame: 16:40:00 | BTC: $69,649.30 | Change: +37.70 / ±$180
[16:41:31] Frame: 16:40:00 | BTC: $69,649.30 | Change: +37.70 / ±$180
[16:41:35] Frame: 16:40:00 | BTC: $69,657.40 | Change: +45.80 / ±$180
[16:41:38] Frame: 16:40:00 | BTC: $69,657.40 | Change: +45.80 / ±$180
[16:41:41] Frame: 16:40:00 | BTC: $69,657.40 | Change: +45.80 / ±$180
[16:41:44] Frame: 16:40:00 | BTC: $69,660.00 | Change: +48.40 / ±$180
[16:41:47] Frame: 16:40:00 | BTC: $69,660.00 | Change: +48.40 / ±$180
[16:41:50] Frame: 16:40:00 | BTC: $69,659.90 | Change: +48.30 / ±$180
[16:41:53] Frame: 16:40:00 | BTC: $69,660.00 | Change: +48.40 / ±$180
[16:41:56] Frame: 16:40:00 | BTC: $69,668.20 | Change: +56.60 / ±$180
[16:41:59] Frame: 16:40:00 | BTC: $69,668.10 | Change: +56.50 / ±$180
[16:42:02] Frame: 16:40:00 | BTC: $69,661.30 | Change: +49.70 / ±$180
[16:42:05] Frame: 16:40:00 | BTC: $69,658.00 | Change: +46.40 / ±$180
[16:42:09] Frame: 16:40:00 | BTC: $69,648.30 | Change: +36.70 / ±$180
[16:42:12] Frame: 16:40:00 | BTC: $69,648.30 | Change: +36.70 / ±$180
[16:42:15] Frame: 16:40:00 | BTC: $69,647.30 | Change: +35.70 / ±$180
[16:42:18] Frame: 16:40:00 | BTC: $69,647.40 | Change: +35.80 / ±$180
[16:42:21] Frame: 16:40:00 | BTC: $69,646.50 | Change: +34.90 / ±$180
[16:42:24] Frame: 16:40:00 | BTC: $69,646.50 | Change: +34.90 / ±$180
[16:42:27] Frame: 16:40:00 | BTC: $69,638.20 | Change: +26.60 / ±$180
[16:42:30] Frame: 16:40:00 | BTC: $69,636.00 | Change: +24.40 / ±$180
[16:42:33] Frame: 16:40:00 | BTC: $69,636.10 | Change: +24.50 / ±$180
[16:42:36] Frame: 16:40:00 | BTC: $69,645.10 | Change: +33.50 / ±$180
[16:42:41] Frame: 16:40:00 | BTC: $69,645.10 | Change: +33.50 / ±$180
[16:42:44] Frame: 16:40:00 | BTC: $69,645.10 | Change: +33.50 / ±$180
[16:42:47] Frame: 16:40:00 | BTC: $69,628.00 | Change: +16.40 / ±$180
[16:42:51] Frame: 16:40:00 | BTC: $69,628.00 | Change: +16.40 / ±$180
[16:42:54] Frame: 16:40:00 | BTC: $69,638.10 | Change: +26.50 / ±$180
[16:42:57] Frame: 16:40:00 | BTC: $69,638.10 | Change: +26.50 / ±$180
[16:42:59] Frame: 16:40:00 | BTC: $69,638.20 | Change: +26.60 / ±$180
[16:43:02] Frame: 16:40:00 | BTC: $69,640.10 | Change: +28.50 / ±$180
[16:43:05] Frame: 16:40:00 | BTC: $69,640.10 | Change: +28.50 / ±$180
[16:43:08] Frame: 16:40:00 | BTC: $69,640.20 | Change: +28.60 / ±$180
[16:43:11] Frame: 16:40:00 | BTC: $69,640.10 | Change: +28.50 / ±$180
[16:43:15] Frame: 16:40:00 | BTC: $69,640.10 | Change: +28.50 / ±$180
[16:43:18] Frame: 16:40:00 | BTC: $69,640.10 | Change: +28.50 / ±$180
[16:43:21] Frame: 16:40:00 | BTC: $69,640.20 | Change: +28.60 / ±$180
[16:43:24] Frame: 16:40:00 | BTC: $69,640.10 | Change: +28.50 / ±$180
[16:43:27] Frame: 16:40:00 | BTC: $69,640.10 | Change: +28.50 / ±$180
[16:43:30] Frame: 16:40:00 | BTC: $69,640.10 | Change: +28.50 / ±$180
[16:43:33] Frame: 16:40:00 | BTC: $69,640.10 | Change: +28.50 / ±$180
[16:43:37] Frame: 16:40:00 | BTC: $69,640.20 | Change: +28.60 / ±$180
[16:43:39] Frame: 16:40:00 | BTC: $69,634.50 | Change: +22.90 / ±$180
[16:43:42] Frame: 16:40:00 | BTC: $69,621.10 | Change: +9.50 / ±$180
[16:43:45] Frame: 16:40:00 | BTC: $69,621.00 | Change: +9.40 / ±$180
[16:43:49] Frame: 16:40:00 | BTC: $69,621.00 | Change: +9.40 / ±$180
[16:43:52] Frame: 16:40:00 | BTC: $69,621.10 | Change: +9.50 / ±$180
[16:43:55] Frame: 16:40:00 | BTC: $69,621.00 | Change: +9.40 / ±$180
[16:43:58] Frame: 16:40:00 | BTC: $69,623.60 | Change: +12.00 / ±$180
[16:44:01] Frame: 16:40:00 | BTC: $69,623.50 | Change: +11.90 / ±$180
[16:44:04] Frame: 16:40:00 | BTC: $69,623.60 | Change: +12.00 / ±$180
[16:44:07] Frame: 16:40:00 | BTC: $69,623.50 | Change: +11.90 / ±$180
[16:44:10] Frame: 16:40:00 | BTC: $69,632.50 | Change: +20.90 / ±$180
[16:44:13] Frame: 16:40:00 | BTC: $69,632.50 | Change: +20.90 / ±$180
[16:44:16] Frame: 16:40:00 | BTC: $69,616.50 | Change: +4.90 / ±$180
[16:44:19] Frame: 16:40:00 | BTC: $69,610.10 | Change: -1.50 / ±$180
[16:44:23] Frame: 16:40:00 | BTC: $69,610.10 | Change: -1.50 / ±$180
[16:44:26] Frame: 16:40:00 | BTC: $69,610.00 | Change: -1.60 / ±$180
[16:44:29] Frame: 16:40:00 | BTC: $69,611.60 | Change: +0.00 / ±$180
[16:44:32] Frame: 16:40:00 | BTC: $69,611.60 | Change: +0.00 / ±$180
[16:44:35] Frame: 16:40:00 | BTC: $69,611.50 | Change: -0.10 / ±$180
[16:44:39] Frame: 16:40:00 | BTC: $69,611.50 | Change: -0.10 / ±$180
[16:44:39] ⚠️  WARNING: Timestamp stuck at same value!
[16:44:39] Frame: 16:40:00 | BTC: $69,611.50 | Change: -0.10 / ±$180
[16:44:44] Frame: 16:40:00 | BTC: $69,614.90 | Change: +3.30 / ±$180
[16:44:47] Frame: 16:40:00 | BTC: $69,611.40 | Change: -0.20 / ±$180
[16:44:50] Frame: 16:40:00 | BTC: $69,610.00 | Change: -1.60 / ±$180
[16:44:53] Frame: 16:40:00 | BTC: $69,610.00 | Change: -1.60 / ±$180
[16:44:57] Frame: 16:40:00 | BTC: $69,610.00 | Change: -1.60 / ±$180

[NEW FRAME] Now: 16:45:00 | Frame: 16:45:00 | Frame Start Price: $69,610.00
[16:45:00] Frame: 16:45:00 | BTC: $69,610.00 | Change: +0.00 / ±$180
[16:45:03] Frame: 16:45:00 | BTC: $69,594.00 | Change: -16.00 / ±$180
[16:45:06] Frame: 16:45:00 | BTC: $69,603.10 | Change: -6.90 / ±$180
[16:45:09] Frame: 16:45:00 | BTC: $69,603.10 | Change: -6.90 / ±$180
[16:45:12] Frame: 16:45:00 | BTC: $69,612.00 | Change: +2.00 / ±$180
[16:45:15] Frame: 16:45:00 | BTC: $69,612.00 | Change: +2.00 / ±$180
[16:45:18] Frame: 16:45:00 | BTC: $69,612.10 | Change: +2.10 / ±$180
[16:45:21] Frame: 16:45:00 | BTC: $69,620.40 | Change: +10.40 / ±$180
[16:45:24] Frame: 16:45:00 | BTC: $69,620.40 | Change: +10.40 / ±$180
[16:45:27] Frame: 16:45:00 | BTC: $69,629.50 | Change: +19.50 / ±$180
[16:45:31] Frame: 16:45:00 | BTC: $69,645.00 | Change: +35.00 / ±$180
[16:45:34] Frame: 16:45:00 | BTC: $69,649.80 | Change: +39.80 / ±$180
[16:45:38] Frame: 16:45:00 | BTC: $69,645.00 | Change: +35.00 / ±$180
[16:45:41] Frame: 16:45:00 | BTC: $69,645.10 | Change: +35.10 / ±$180
[16:45:44] Frame: 16:45:00 | BTC: $69,649.50 | Change: +39.50 / ±$180
[16:45:47] Frame: 16:45:00 | BTC: $69,649.50 | Change: +39.50 / ±$180
[16:45:50] Frame: 16:45:00 | BTC: $69,649.60 | Change: +39.60 / ±$180
[16:45:53] Frame: 16:45:00 | BTC: $69,649.50 | Change: +39.50 / ±$180
[16:45:56] Frame: 16:45:00 | BTC: $69,649.60 | Change: +39.60 / ±$180
[16:45:59] Frame: 16:45:00 | BTC: $69,649.50 | Change: +39.50 / ±$180
[16:46:03] Frame: 16:45:00 | BTC: $69,649.60 | Change: +39.60 / ±$180
[16:46:06] Frame: 16:45:00 | BTC: $69,649.60 | Change: +39.60 / ±$180
[16:46:09] Frame: 16:45:00 | BTC: $69,649.60 | Change: +39.60 / ±$180
[16:46:12] Frame: 16:45:00 | BTC: $69,649.50 | Change: +39.50 / ±$180
[16:46:15] Frame: 16:45:00 | BTC: $69,649.50 | Change: +39.50 / ±$180
[16:46:18] Frame: 16:45:00 | BTC: $69,649.50 | Change: +39.50 / ±$180
[16:46:21] Frame: 16:45:00 | BTC: $69,650.40 | Change: +40.40 / ±$180
[16:46:24] Frame: 16:45:00 | BTC: $69,650.40 | Change: +40.40 / ±$180
[16:46:27] Frame: 16:45:00 | BTC: $69,650.40 | Change: +40.40 / ±$180
[16:46:30] Frame: 16:45:00 | BTC: $69,650.40 | Change: +40.40 / ±$180
[16:46:34] Frame: 16:45:00 | BTC: $69,650.40 | Change: +40.40 / ±$180
[16:46:38] Frame: 16:45:00 | BTC: $69,650.40 | Change: +40.40 / ±$180
[16:46:41] Frame: 16:45:00 | BTC: $69,650.40 | Change: +40.40 / ±$180
[16:46:45] Frame: 16:45:00 | BTC: $69,619.50 | Change: +9.50 / ±$180
[16:46:48] Frame: 16:45:00 | BTC: $69,619.50 | Change: +9.50 / ±$180
[16:46:51] Frame: 16:45:00 | BTC: $69,629.10 | Change: +19.10 / ±$180
[16:46:54] Frame: 16:45:00 | BTC: $69,636.80 | Change: +26.80 / ±$180
[16:46:57] Frame: 16:45:00 | BTC: $69,655.60 | Change: +45.60 / ±$180
[16:47:00] Frame: 16:45:00 | BTC: $69,635.00 | Change: +25.00 / ±$180
[16:47:03] Frame: 16:45:00 | BTC: $69,634.90 | Change: +24.90 / ±$180
[16:47:06] Frame: 16:45:00 | BTC: $69,638.90 | Change: +28.90 / ±$180
[16:47:10] Frame: 16:45:00 | BTC: $69,641.60 | Change: +31.60 / ±$180
[16:47:13] Frame: 16:45:00 | BTC: $69,647.90 | Change: +37.90 / ±$180
[16:47:16] Frame: 16:45:00 | BTC: $69,647.90 | Change: +37.90 / ±$180
[16:47:19] Frame: 16:45:00 | BTC: $69,656.00 | Change: +46.00 / ±$180
[16:47:22] Frame: 16:45:00 | BTC: $69,653.10 | Change: +43.10 / ±$180
[16:47:25] Frame: 16:45:00 | BTC: $69,653.00 | Change: +43.00 / ±$180
[16:47:28] Frame: 16:45:00 | BTC: $69,653.00 | Change: +43.00 / ±$180
[16:47:32] Frame: 16:45:00 | BTC: $69,653.10 | Change: +43.10 / ±$180
[16:47:34] Frame: 16:45:00 | BTC: $69,640.30 | Change: +30.30 / ±$180
[16:47:37] Frame: 16:45:00 | BTC: $69,640.30 | Change: +30.30 / ±$180
[16:47:41] Frame: 16:45:00 | BTC: $69,640.70 | Change: +30.70 / ±$180
[16:47:45] Frame: 16:45:00 | BTC: $69,640.70 | Change: +30.70 / ±$180
[16:47:48] Frame: 16:45:00 | BTC: $69,644.70 | Change: +34.70 / ±$180
[16:47:51] Frame: 16:45:00 | BTC: $69,651.20 | Change: +41.20 / ±$180
[16:47:54] Frame: 16:45:00 | BTC: $69,651.30 | Change: +41.30 / ±$180
[16:47:57] Frame: 16:45:00 | BTC: $69,651.30 | Change: +41.30 / ±$180
[16:48:01] Frame: 16:45:00 | BTC: $69,651.30 | Change: +41.30 / ±$180
[16:48:04] Frame: 16:45:00 | BTC: $69,651.30 | Change: +41.30 / ±$180
[16:48:08] Frame: 16:45:00 | BTC: $69,642.10 | Change: +32.10 / ±$180
[16:48:10] Frame: 16:45:00 | BTC: $69,642.10 | Change: +32.10 / ±$180
[16:48:13] Frame: 16:45:00 | BTC: $69,642.10 | Change: +32.10 / ±$180
[16:48:16] Frame: 16:45:00 | BTC: $69,633.50 | Change: +23.50 / ±$180
[16:48:19] Frame: 16:45:00 | BTC: $69,633.50 | Change: +23.50 / ±$180
[16:48:23] Frame: 16:45:00 | BTC: $69,629.60 | Change: +19.60 / ±$180
[16:48:25] Frame: 16:45:00 | BTC: $69,629.60 | Change: +19.60 / ±$180
[16:48:29] Frame: 16:45:00 | BTC: $69,629.60 | Change: +19.60 / ±$180
[16:48:32] Frame: 16:45:00 | BTC: $69,624.10 | Change: +14.10 / ±$180
[16:48:35] Frame: 16:45:00 | BTC: $69,624.10 | Change: +14.10 / ±$180
[16:48:38] Frame: 16:45:00 | BTC: $69,624.10 | Change: +14.10 / ±$180
[16:48:42] Frame: 16:45:00 | BTC: $69,596.20 | Change: -13.80 / ±$180
[16:48:42] ⚠️  WARNING: Timestamp stuck at same value!
[16:48:42] Frame: 16:45:00 | BTC: $69,596.20 | Change: -13.80 / ±$180
[16:48:46] Frame: 16:45:00 | BTC: $69,562.10 | Change: -47.90 / ±$180
[16:48:49] Frame: 16:45:00 | BTC: $69,562.10 | Change: -47.90 / ±$180
[16:48:52] Frame: 16:45:00 | BTC: $69,578.50 | Change: -31.50 / ±$180
[16:48:55] Frame: 16:45:00 | BTC: $69,582.40 | Change: -27.60 / ±$180
[16:48:58] Frame: 16:45:00 | BTC: $69,582.70 | Change: -27.30 / ±$180
[16:49:01] Frame: 16:45:00 | BTC: $69,585.90 | Change: -24.10 / ±$180
[16:49:05] Frame: 16:45:00 | BTC: $69,599.70 | Change: -10.30 / ±$180
[16:49:09] Frame: 16:45:00 | BTC: $69,599.70 | Change: -10.30 / ±$180
[16:49:12] Frame: 16:45:00 | BTC: $69,612.10 | Change: +2.10 / ±$180
[16:49:15] Frame: 16:45:00 | BTC: $69,623.00 | Change: +13.00 / ±$180
[16:49:18] Frame: 16:45:00 | BTC: $69,616.00 | Change: +6.00 / ±$180
[16:49:21] Frame: 16:45:00 | BTC: $69,618.00 | Change: +8.00 / ±$180
[16:49:24] Frame: 16:45:00 | BTC: $69,617.90 | Change: +7.90 / ±$180
[16:49:27] Frame: 16:45:00 | BTC: $69,623.00 | Change: +13.00 / ±$180
[16:49:30] Frame: 16:45:00 | BTC: $69,623.00 | Change: +13.00 / ±$180
[16:49:33] Frame: 16:45:00 | BTC: $69,622.90 | Change: +12.90 / ±$180
[16:49:36] Frame: 16:45:00 | BTC: $69,623.00 | Change: +13.00 / ±$180
[16:49:39] Frame: 16:45:00 | BTC: $69,623.00 | Change: +13.00 / ±$180
[16:49:43] Frame: 16:45:00 | BTC: $69,622.90 | Change: +12.90 / ±$180
[16:49:47] Frame: 16:45:00 | BTC: $69,628.00 | Change: +18.00 / ±$180
[16:49:49] Frame: 16:45:00 | BTC: $69,631.30 | Change: +21.30 / ±$180
[16:49:52] Frame: 16:45:00 | BTC: $69,631.30 | Change: +21.30 / ±$180
[16:49:55] Frame: 16:45:00 | BTC: $69,631.40 | Change: +21.40 / ±$180
[16:49:59] Frame: 16:45:00 | BTC: $69,631.40 | Change: +21.40 / ±$180

[NEW FRAME] Now: 16:50:02 | Frame: 16:50:00 | Frame Start Price: $69,635.10
[16:50:02] Frame: 16:50:00 | BTC: $69,635.10 | Change: +0.00 / ±$180
[16:50:05] Frame: 16:50:00 | BTC: $69,635.10 | Change: +0.00 / ±$180
[16:50:08] Frame: 16:50:00 | BTC: $69,645.90 | Change: +10.80 / ±$180
[16:50:11] Frame: 16:50:00 | BTC: $69,642.50 | Change: +7.40 / ±$180
[16:50:15] Frame: 16:50:00 | BTC: $69,642.50 | Change: +7.40 / ±$180
[16:50:18] Frame: 16:50:00 | BTC: $69,639.00 | Change: +3.90 / ±$180
[16:50:21] Frame: 16:50:00 | BTC: $69,632.40 | Change: -2.70 / ±$180
[16:50:24] Frame: 16:50:00 | BTC: $69,632.40 | Change: -2.70 / ±$180
[16:50:27] Frame: 16:50:00 | BTC: $69,631.20 | Change: -3.90 / ±$180
[16:50:30] Frame: 16:50:00 | BTC: $69,628.40 | Change: -6.70 / ±$180
[16:50:33] Frame: 16:50:00 | BTC: $69,628.40 | Change: -6.70 / ±$180
[16:50:36] Frame: 16:50:00 | BTC: $69,630.40 | Change: -4.70 / ±$180
[16:50:39] Frame: 16:50:00 | BTC: $69,630.40 | Change: -4.70 / ±$180
[16:50:42] Frame: 16:50:00 | BTC: $69,639.30 | Change: +4.20 / ±$180
[16:50:46] Frame: 16:50:00 | BTC: $69,639.30 | Change: +4.20 / ±$180
[16:50:51] Frame: 16:50:00 | BTC: $69,639.30 | Change: +4.20 / ±$180
[16:50:54] Frame: 16:50:00 | BTC: $69,639.30 | Change: +4.20 / ±$180
[16:50:56] Frame: 16:50:00 | BTC: $69,645.10 | Change: +10.00 / ±$180
[16:50:59] Frame: 16:50:00 | BTC: $69,645.10 | Change: +10.00 / ±$180
[16:51:02] Frame: 16:50:00 | BTC: $69,645.20 | Change: +10.10 / ±$180
[16:51:05] Frame: 16:50:00 | BTC: $69,645.10 | Change: +10.00 / ±$180
[16:51:08] Frame: 16:50:00 | BTC: $69,645.10 | Change: +10.00 / ±$180
[16:51:11] Frame: 16:50:00 | BTC: $69,635.80 | Change: +0.70 / ±$180
[16:51:14] Frame: 16:50:00 | BTC: $69,635.90 | Change: +0.80 / ±$180
[16:51:17] Frame: 16:50:00 | BTC: $69,635.90 | Change: +0.80 / ±$180
[16:51:20] Frame: 16:50:00 | BTC: $69,635.90 | Change: +0.80 / ±$180
[16:51:24] Frame: 16:50:00 | BTC: $69,629.70 | Change: -5.40 / ±$180
[16:51:27] Frame: 16:50:00 | BTC: $69,629.80 | Change: -5.30 / ±$180
[16:51:30] Frame: 16:50:00 | BTC: $69,629.80 | Change: -5.30 / ±$180
[16:51:33] Frame: 16:50:00 | BTC: $69,629.80 | Change: -5.30 / ±$180
[16:51:36] Frame: 16:50:00 | BTC: $69,629.80 | Change: -5.30 / ±$180
[16:51:39] Frame: 16:50:00 | BTC: $69,629.80 | Change: -5.30 / ±$180
[16:51:42] Frame: 16:50:00 | BTC: $69,633.50 | Change: -1.60 / ±$180
[16:51:45] Frame: 16:50:00 | BTC: $69,633.50 | Change: -1.60 / ±$180
[16:51:48] Frame: 16:50:00 | BTC: $69,645.60 | Change: +10.50 / ±$180
[16:51:51] Frame: 16:50:00 | BTC: $69,645.70 | Change: +10.60 / ±$180
[16:51:54] Frame: 16:50:00 | BTC: $69,645.70 | Change: +10.60 / ±$180
[16:51:58] Frame: 16:50:00 | BTC: $69,636.80 | Change: +1.70 / ±$180
[16:52:01] Frame: 16:50:00 | BTC: $69,636.80 | Change: +1.70 / ±$180
[16:52:04] Frame: 16:50:00 | BTC: $69,636.70 | Change: +1.60 / ±$180
[16:52:07] Frame: 16:50:00 | BTC: $69,634.80 | Change: -0.30 / ±$180
[16:52:10] Frame: 16:50:00 | BTC: $69,634.80 | Change: -0.30 / ±$180
